;name;num_vertices;time;scale;max_clique;size_max_clique;is_right;wrong_vertices
0;brock400_2.clq;400;40.20842456817627;1.0;[30, 157, 228, 90, 52, 153, 192, 173, 178, 122, 34, 315, 137, 290, 244, 47, 372, 206, 282, 227, 218];21;True;[]
1;gen400_p0.9_75.clq;400;79.70758080482483;1.0;[42, 256, 286, 54, 228, 226, 306, 242, 173, 207, 94, 355, 116, 349, 389, 392, 79, 387, 3, 232, 383, 52, 117, 189, 251, 46, 20, 291, 93, 8, 84, 273, 22, 1, 33, 373, 41, 115, 125, 399, 396, 57, 90, 293, 148];45;True;[]
2;keller4.clq;171;1.0527448654174805;1.0;[24, 119, 63, 99, 142, 4, 85, 28, 15, 90, 125];11;True;[]
3;gen200_p0.9_55.clq;200;5.325165748596191;1.0;[134, 191, 24, 87, 5, 32, 20, 115, 174, 91, 106, 76, 18, 40, 85, 168, 151, 196, 145, 80, 165, 49, 92, 99, 136, 81, 90, 13, 128, 158, 162, 112, 26, 25, 186, 176, 88, 14, 163, 77, 198, 181];42;True;[]
4;brock800_2.clq;800;389.8406009674072;1.0;[289, 189, 294, 254, 645, 333, 201, 582, 416, 675, 214, 766, 621, 1, 663, 519, 346, 442];18;True;[]
5;brock800_4.clq;800;399.22956562042236;1.0;[696, 558, 510, 376, 246, 780, 557, 181, 105, 530, 171, 214, 338, 310, 556, 690, 7, 724];18;True;[]
6;gen200_p0.9_44.clq;200;5.422675848007202;1.0;[46, 192, 105, 116, 39, 125, 27, 34, 89, 48, 189, 144, 132, 74, 78, 85, 165, 97, 149, 49, 107, 6, 64, 79, 155, 173, 145, 184, 118, 22, 198, 38, 177, 16, 161];35;True;[]
7;p_hat1500-1.clq;1500;238.27544927597046;1.0;[1212, 1447, 520, 515, 737, 1483, 351, 291, 1378, 1423];10;True;[]
8;p_hat700-2.clq;700;67.1178331375122;1.0;[419, 78, 586, 30, 617, 372, 553, 192, 72, 121, 151, 8, 344, 392, 307, 14, 607, 29, 677, 666, 75, 281, 128, 316, 350, 494, 105, 327, 296, 114, 294, 324, 148, 648, 53, 467, 117, 575];38;True;[]
9;gen400_p0.9_65.clq;400;136.2996847629547;1.0;[296, 191, 288, 147, 68, 174, 185, 354, 108, 111, 160, 17, 269, 175, 273, 162, 293, 104, 255, 202, 164, 362, 356, 322, 371, 346, 205, 349, 79, 382, 156, 153, 121, 169, 92, 320, 280, 71, 350, 233, 119, 158, 374, 144, 177];45;True;[]
10;p_hat700-1.clq;700;12.918844938278198;1.0;[51, 151, 446, 211, 162, 322, 652, 391, 294];9;True;[]
11;brock200_2.clq;200;1.098900318145752;1.0;[104, 47, 148, 26, 157, 120, 182, 54, 144, 69, 119, 134];12;True;[]
12;brock200_4.clq;200;1.8139233589172363;1.0;[35, 11, 67, 149, 70, 15, 22, 114, 119, 54, 192, 89, 94, 130];14;True;[]
13;p_hat300-2.clq;300;2.97601580619812;1.0;[103, 261, 199, 19, 204, 169, 189, 55, 138, 254, 20, 295, 37, 273, 88, 178, 296, 75, 74, 236, 173, 125, 279, 118];24;True;[]
14;hamming8-4.clq;256;3.6708762645721436;1.0;[78, 99, 27, 250, 36, 215, 201, 177, 125, 130, 175, 156, 80];13;True;[]
15;brock400_4.clq;400;43.96623730659485;1.0;[295, 375, 244, 41, 356, 214, 299, 260, 165, 39, 58, 308, 90, 9, 0, 188, 65, 337, 31, 185, 29, 103];22;True;[]
16;C250.9.clq;250;25.13025164604187;1.0;[224, 103, 71, 73, 119, 178, 31, 201, 225, 49, 92, 86, 63, 205, 80, 105, 240, 196, 179, 45, 143, 145, 189, 230, 97, 74, 247, 226, 50, 229, 124, 162, 5, 62, 228, 56, 114, 208, 158];39;True;[]
17;C500.9.clq;500;200.2311019897461;1.0;[148, 91, 102, 389, 185, 391, 36, 403, 358, 203, 76, 279, 27, 26, 146, 89, 194, 123, 156, 94, 409, 207, 0, 466, 492, 330, 118, 83, 442, 404, 267, 331, 115, 113, 356, 96, 294, 318, 396, 188, 366, 489, 380, 414, 243, 306, 406];47;True;[]
18;p_hat300-3.clq;300;9.939876317977905;1.0;[13, 259, 299, 295, 74, 192, 221, 285, 113, 230, 238, 236, 254, 57, 48, 234, 204, 178, 106, 78, 97, 279, 29, 296, 55, 207, 39, 159, 75, 196];30;True;[]
19;MANN_a27.clq;378;137.87966060638428;1.0;[3, 304, 233, 137, 159, 263, 329, 366, 14, 130, 363, 317, 23, 292, 78, 170, 16, 355, 57, 209, 172, 250, 280, 369, 117, 320, 239, 90, 197, 146, 178, 323, 275, 152, 358, 244, 167, 241, 255, 33, 12, 188, 99, 149, 216, 83, 297, 282, 121, 339, 215, 29, 286, 40, 199, 103, 31, 89, 54, 289, 259, 108, 37, 62, 277, 302, 374, 53, 47, 158, 308, 183, 125, 194, 351, 246, 93, 346, 106, 210, 313, 162, 84, 132, 155, 376, 65, 330, 98, 254, 269, 48, 127, 227, 141, 221, 116, 204, 44, 181, 311, 350, 201, 296, 72, 7, 176, 69, 230, 223, 190, 75, 236, 333, 266, 338, 271, 139, 113, 342, 326, 67, 362];123;True;[]
20;p_hat700-3.clq;700;214.39336109161377;1.0;[252, 456, 635, 336, 524, 401, 575, 194, 611, 242, 512, 374, 69, 324, 510, 211, 494, 607, 16, 360, 322, 30, 238, 406, 121, 127, 128, 323, 586, 132, 86, 467, 618, 289, 583, 24, 652, 75, 316, 578, 251, 188, 657, 396, 325, 372, 677, 580, 68, 347, 666];51;True;[]
21;p_hat300-1.clq;300;0.726973295211792;1.0;[254, 224, 17, 48, 106, 196, 148, 170];8;True;[]
22;C125.9.clq;125;1.1036925315856934;1.0;[92, 67, 78, 79, 120, 81, 111, 97, 83, 48, 113, 43, 95, 71, 19, 24, 116, 76, 53, 110, 82, 66, 47, 17, 70, 6, 65, 33, 8, 28, 109];31;True;[]
