,name,num_vertices,time_0.1,size_max_clique_0.1,time_1.0,size_max_clique_1.0
0,C1000.9,1000,185.63,52,2015.27,54.0
1,C125.9,125,0.05,30,0.49,31.0
2,C2000.5,2000,322.74,14,2705.67,14.0
3,C250.9,250,0.38,38,11.37,39.0
4,C500.9,500,4.24,44,89.23,47.0
5,DSJC1000_5,1000,19.01,14,157.96,14.0
6,DSJC500_5,500,1.28,11,11.66,12.0
7,MANN_a27,378,8.27,123,61.86,123.0
8,MANN_a45,1035,507.19,335,6154.56,337.0
9,MANN_a9,45,0.0,15,0.01,16.0
10,brock200_1,200,0.08,18,1.54,19.0
11,brock200_2,200,0.04,9,0.56,12.0
12,brock200_3,200,0.05,14,0.72,13.0
13,brock200_4,200,0.07,13,0.82,14.0
14,brock400_1,400,2.07,21,26.44,22.0
15,brock400_2,400,2.78,20,19.19,21.0
16,brock400_3,400,1.88,20,31.33,22.0
17,brock400_4,400,2.96,21,19.03,22.0
18,brock800_1,800,16.81,17,181.63,18.0
19,brock800_2,800,17.41,17,175.39,18.0
20,brock800_3,800,20.56,18,162.28,18.0
21,brock800_4,800,15.47,17,173.13,18.0
22,c-fat200-1,200,0.01,12,0.01,12.0
23,c-fat200-2,200,0.01,24,0.02,24.0
24,c-fat200-5,200,0.03,58,0.05,58.0
25,c-fat500-1,500,0.06,14,0.07,14.0
26,c-fat500-10,500,0.29,126,0.55,126.0
27,c-fat500-2,500,0.08,26,0.09,26.0
28,c-fat500-5,500,0.15,64,0.22,64.0
29,gen200_p0.9_44,200,0.2,33,2.45,35.0
30,gen200_p0.9_55,200,0.19,34,2.43,42.0
31,gen400_p0.9_55,400,1.63,40,69.33,45.0
32,gen400_p0.9_65,400,1.7,41,60.5,45.0
33,gen400_p0.9_75,400,1.65,41,34.1,45.0
34,hamming10-2,1024,176.39,277,2391.11,307.0
35,hamming10-4,1024,104.68,31,1005.45,32.0
36,hamming6-2,64,0.0,32,0.02,32.0
37,hamming6-4,64,0.0,4,0.0,4.0
38,hamming8-2,256,0.68,96,10.61,111.0
39,hamming8-4,256,0.29,13,1.68,13.0
40,johnson16-2-4,120,0.05,8,0.29,8.0
41,johnson32-2-4,496,11.38,16,122.29,16.0
42,johnson8-2-4,28,0.0,4,0.0,4.0
43,johnson8-4-4,70,0.0,11,0.02,14.0
44,keller4,171,0.05,11,0.46,11.0
45,keller5,776,29.24,23,255.78,25.0
46,keller6,3361,18566.02,47,,
47,p_hat1000-1,1000,3.39,9,3.32,9.0
48,p_hat1000-2,1000,17.1,34,17.32,34.0
49,p_hat1000-3,1000,46.68,46,47.93,46.0
50,p_hat1500-1,1500,21.5,11,21.43,11.0
51,p_hat1500-2,1500,60.03,45,61.87,45.0
52,p_hat1500-3,1500,226.3,63,238.45,63.0
53,p_hat300-1,300,0.06,7,0.06,7.0
54,p_hat300-2,300,0.12,21,0.13,21.0
55,p_hat300-3,300,0.3,27,0.33,27.0
56,p_hat500-1,500,0.31,8,0.32,8.0
57,p_hat500-2,500,0.83,28,0.87,28.0
58,p_hat500-3,500,2.41,36,2.47,36.0
59,p_hat700-1,700,1.03,8,1.05,8.0
60,p_hat700-2,700,2.98,35,3.17,35.0
61,p_hat700-3,700,12.67,44,13.25,44.0
62,san1000,1000,38.31,10,40.49,10.0
63,san200_0.7_1,200,0.08,17,0.09,17.0
64,san200_0.7_2,200,0.1,14,0.11,14.0
65,san200_0.9_1,200,0.2,47,0.23,47.0
66,san200_0.9_2,200,0.19,41,0.21,41.0
67,san200_0.9_3,200,0.19,31,0.21,31.0
68,san400_0.5_1,400,1.36,9,1.49,9.0
69,san400_0.7_1,400,3.03,22,3.34,22.0
70,san400_0.7_2,400,2.32,18,2.56,18.0
71,san400_0.7_3,400,2.05,16,2.23,16.0
72,san400_0.9_1,400,1.79,53,1.97,53.0
73,sanr200_0.7,200,0.07,15,0.08,15.0
74,sanr200_0.9,200,0.19,32,0.21,32.0
75,sanr400_0.5,400,0.67,11,0.73,11.0
76,sanr400_0.7,400,1.74,18,1.93,18.0
