name;time_1.0;size_max_clique_1.0;num_vertices;num_edges
socfb-American75.mtx;40.57;39;6386;217662
socfb-Amherst41.mtx;5.98;21;2235;90954
socfb-Auburn71.mtx;663.72;56;18448;973918
socfb-BC17.mtx;200.13;35;11509;486967
socfb-BU10.mtx;483.46;38;19700;637528
socfb-Baylor93.mtx;319.47;54;12803;679817
socfb-Berkeley13.mtx;832.31;42;22900;852419
socfb-Bingham82.mtx;150.24;42;10004;362894
socfb-Bowdoin47.mtx;4.94;22;2252;84387
socfb-Brandeis99.mtx;16.74;23;3898;137567
socfb-Brown11.mtx;140.75;32;8600;384526
socfb-Bucknell39.mtx;18.38;29;3826;158864
socfb-CMU.mtx;65.8;44;6621;249959
socfb-Cal65.mtx;180.57;50;11247;351358
socfb-Caltech36.mtx;0.38;20;769;16656
socfb-Colgate88.mtx;15.92;33;3482;155043
socfb-Columbia2.mtx;242.18;31;11770;444333
socfb-Cornell5.mtx;653.97;40;18660;790777
socfb-Dartmouth6.mtx;102.01;28;7694;304076
socfb-Duke14.mtx;229.36;33;9885;506437
socfb-Emory27.mtx;103.4;52;7460;330014
socfb-FSU53.mtx;1346.97;54;27737;1034802
socfb-Indiana.mtx;1492.6;47;29732;1305757
socfb-Indiana69.mtx;1501.44;47;29747;1305765
socfb-JMU79.mtx;240.37;38;14070;485564
socfb-JohnsHopkins55.mtx;31.62;44;5180;186586
socfb-Lehigh96.mtx;34.6;37;5075;198347
socfb-MIT.mtx;62.37;32;6402;251230
socfb-MSU24.mtx;1565.69;46;32375;1118774
socfb-MU78.mtx;386.12;48;15436;649449
socfb-Maine59.mtx;90.58;28;9069;243247
socfb-Maryland58.mtx;652.87;53;20871;744862
socfb-Mich67.mtx;8.76;27;3748;81903
socfb-Michigan23.mtx;1539.24;44;30147;1176516
socfb-Middlebury45.mtx;11.0;24;3075;124610
socfb-Mississippi66.mtx;262.77;47;10521;610911
socfb-NYU9.mtx;706.92;37;21679;715715
socfb-Northeastern19.mtx;252.21;34;13882;381934
socfb-Northwestern25.mtx;219.91;40;10567;488337
socfb-NotreDame57.mtx;291.54;25;12155;541339
socfb-Temple83.mtx;322.03;35;13686;360795
socfb-Tennessee95.mtx;832.38;57;16979;770659
socfb-Texas80.mtx;2835.07;57;31560;1219650
socfb-Texas84.mtx;4410.97;50;36364;1590651
socfb-Trinity100.mtx;15.25;36;2613;111996
socfb-Tufts18.mtx;122.37;34;6682;249728
socfb-Tulane29.mtx;172.76;38;7752;283918
socfb-UC33.mtx;734.74;42;16808;522147
socfb-UC61.mtx;538.35;46;13746;442174
socfb-UC64.mtx;80.81;32;6833;155332
socfb-UCF52.mtx;593.2;59;14940;428989
socfb-UCLA.mtx;1282.03;51;20453;747604
socfb-UCLA26.mtx;1284.71;51;20467;747613
socfb-UCSB37.mtx;653.25;53;14917;482215
socfb-UCSC68.mtx;160.68;30;8991;224584
socfb-UCSD34.mtx;592.51;43;14948;443221
socfb-UChicago30.mtx;102.23;33;6591;208103
socfb-GWU54.mtx;190.39;42;12193;469528
socfb-Hamilton46.mtx;5.56;25;2314;96394
socfb-Harvard1.mtx;462.97;39;15126;824617
socfb-Haverford76.mtx;2.36;24;1446;59589
socfb-Howard90.mtx;25.98;47;4047;204850
socfb-UConn.mtx;404.61;49;17206;604867
socfb-UConn91.mtx;405.48;49;17212;604870
socfb-UF.mtx;2156.92;55;35111;1465654
socfb-UF21.mtx;2193.94;55;35123;1465660
socfb-UGA50.mtx;1153.77;51;24389;1174057
socfb-UIllinois.mtx;1663.48;56;30795;1264421
socfb-UIllinois20.mtx;1656.72;56;30809;1264428
socfb-UMass92.mtx;376.0;35;16516;519385
socfb-UNC28.mtx;597.23;46;18163;766800
socfb-UPenn7.mtx;447.09;41;14916;686501
socfb-USC35.mtx;614.39;60;17444;801853
socfb-USF51.mtx;214.36;43;13377;321214
socfb-USFCA72.mtx;4.23;28;2682;65252
socfb-UVA16.mtx;470.91;42;17196;789321
socfb-Vanderbilt48.mtx;109.14;45;8069;427832
socfb-Vassar85.mtx;9.47;22;3068;119161
socfb-Vermont70.mtx;50.51;38;7324;191221
socfb-Villanova62.mtx;87.2;36;7772;314989
socfb-Virginia63.mtx;626.39;51;21325;698178
socfb-Wake73.mtx;53.47;45;5372;279191
socfb-WashU32.mtx;114.94;41;7755;367541
socfb-Wellesley22.mtx;7.5;27;2970;94899
socfb-Wesleyan43.mtx;14.84;28;3593;138035
socfb-William77.mtx;66.31;38;6472;266378
socfb-Williams40.mtx;9.44;24;2790;112986
socfb-Wisconsin87.mtx;855.08;35;23831;835946
socfb-Yale4.mtx;153.5;30;8578;405450
