name,time_1.0,size_max_clique_1.0
socfb-American75.mtx,19.27,8
socfb-Amherst41.mtx,2.07,8
socfb-Auburn71.mtx,263.53,10
socfb-BC17.mtx,79.55,9
socfb-BU10.mtx,233.73,8
socfb-Baylor93.mtx,125.87,10
socfb-Berkeley13.mtx,367.58,9
socfb-Bingham82.mtx,54.19,8
socfb-Bowdoin47.mtx,2.02,7
socfb-Brandeis99.mtx,7.05,7
socfb-Brown11.mtx,50.71,8
socfb-Bucknell39.mtx,8.37,8
socfb-CMU.mtx,22.47,8
socfb-Cal65.mtx,67.53,9
socfb-Caltech36.mtx,0.18,6
socfb-Colgate88.mtx,5.27,8
socfb-Columbia2.mtx,91.32,8
socfb-Cornell5.mtx,271.72,9
socfb-Dartmouth6.mtx,34.86,7
socfb-Duke14.mtx,77.72,10
socfb-Emory27.mtx,34.05,9
socfb-FSU53.mtx,582.1,9
